num,summary,grade,review
48,"색상: (10)WHITE / 사이즈: XL(105)
체형159cm48kg상의 S사이즈약간 커요 (총 기장)핏오버핏이에요착용감편해요",5,"흰색무지티는 길이가 생각보다 많이 컸는데 천이 톡톡하니 좋아서 만족합니다. 
검정 반팔티 아이가 좋아하네요
무엇보다 천이 좋아요"
49,"색상: (10)WHITE / 사이즈: XL(105)
사이즈잘 맞아요핏적당해요착용감편해요",4,"제품 소재나 전체적인 만듦새는 좋아요.
근데, 냄새가 엄청 나서 세탁은 필수입니다.
잘 입을게요."
50,"색상: (10)WHITE / 사이즈: L(100)
체형남성179cm66kg상의 XL보통 어깨팔이 긴 편사이즈잘 맞아요핏적당해요착용감편해요",5,두장가격이 너무 저렴해서 바로구매했는데 옷퀄리티도좋고 잘입고다닙니다 추천이요
51,"색상: (10)WHITE / 사이즈: XL(105)
핏적당해요사이즈많이 커요 (총 기장)착용감아주 편해요",5,기장은 좀 많이깁니다 세탁해봤는데 뒤틀림이나 변형없는 점이 맘에 듭니다 재질도 좋은편이구요
52,"색상: (10)WHITE / 사이즈: XL(105)
핏오버핏이에요사이즈많이 커요 (총 기장, 소매길이)착용감아주 편해요",5,"상품은 만족합니다.
 오버핏으로 입으려고 큰 사이즈 샀어요.
근데 길이에 비해 품은 그렇게 오버핏이 아니라
생각했던 핏은 아니어요^^;"
53,"색상: (10)WHITE / 사이즈: L(100)
핏적당해요사이즈많이 커요 (총 기장, 기타)착용감편해요",5,"목 네크라인도 도톰하고 소재도 좋고
기장이 레이어드티라 확실히 기네요 ㅎㅎ
큰 맨튜맨 아래 받쳐 입르려고 사긴 햇는데요
소재가 좋습니다"
54,"색상: (10)WHITE / 사이즈: M(095)
체형여성160cm55kg상의 M보통 어깨사이즈약간 커요 (총 기장)핏적당해요착용감편해요",4,"고1아들 중2딸 입히려고 샀습니다.
기장이 좀 길고 사이즈가 넉넉합니다.
세탁한번 했는데 먼지는 좀 많아요.
일단 입혀보고 또 리뷰 남길께요."
55,"색상: (10)WHITE / 사이즈: L(100)
사이즈잘 맞아요핏오버핏이에요착용감편해요",5,"재질 아주 좋고 단품으로 입을수 있을 정도네요.
제품이 패킹이 되어있다보니 처음엔 주름이 많은데 피고 입음 딱 좋습니다."
56,"색상: (10)WHITE / 사이즈: S(090)
사이즈잘 맞아요핏적당해요착용감편해요",5,레이어드용이라 완전 벙벙한 스타일은 아니고 길이만 더 긴 티셔츠 같아요. 그래서 안에 입어도 좋고 적당히 단독에 외투 걸쳐도 좋을 기본템입니다. 한 철 입어보고 좋으면 더 사려고요
57,"색상: (10)WHITE / 사이즈: S(090)
핏적당해요사이즈많이 커요 (총 기장)착용감편해요",5,너무 편하고 좋은데 아쉬운점이 하나있다면 90인데도 너무길어요  진짜 살짝만 짧았으면 완벽했을듯!
58,"색상: (10)WHITE / 사이즈: M(095)
체형여성162cm53kg상의 M어깨 넓음사이즈잘 맞아요핏적당해요착용감편해요",5,남편거 샀어요~  길이가 긴것 같아서 m샀더니 통이 좀끼네요~ 그래도 너무긴것보다는 나은것 같아요
59,"색상: (10)WHITE / 사이즈: L(100)
핏오버핏이에요사이즈많이 커요 (총 기장, 가슴)착용감아주 편해요",5,레이어드 티셔츠라 그냥 티보다 사이즈 길다 생각하시고 사야 될 것 같아요 그래도 만족합니다
60,"색상: (10)WHITE / 사이즈: M(095)
체형남성175cm71kg상의 XL어깨 넓음팔이 긴 편사이즈잘 맞아요핏적당해요착용감편해요",5,"딱맞는 반팔티셔츠 핏에 길이만 더 길어지네요
한세트 샀다가 더 할인하길래 한세트 더 구매 완료"
61,"색상: (10)WHITE / 사이즈: M(095)
사이즈잘 맞아요핏적당해요착용감편해요",3,배송도 빠르고 레이어드할때 잘 입을것 같아요~ 만족합니다
62,"색상: (10)WHITE / 사이즈: XL(105)
체형남성178cm65kg상의 XL보통 어깨팔이 긴 편사이즈잘 맞아요핏오버핏이에요착용감아주 편해요",5,"배송 정말빠르고
구매하고 바로 이너로 입어봤는데 정말좋아요
2셋트샀는데 더 구매할걸 후회중입니다.
다른품목들도 전부 만족"
63,"색상: (10)WHITE / 사이즈: M(095)
사이즈약간 커요 (가슴, 어깨)핏오버핏이에요착용감편해요",4,평소 사이즈m 입는데 이건 좀 크네요. 품이 커요. s 사도 괜찮았을 거 같아요
64,"색상: (10)WHITE / 사이즈: L(100)
체형남성사이즈약간 커요 (총 기장, 가슴)핏오버핏이에요착용감편해요",5,재질이 정말 좋네요. 핏은 오버핏이라 레이어드로 좋을 거 같아요. 아이가 좋아하네요~
65,"색상: (10)WHITE / 사이즈: M(095)
사이즈잘 맞아요핏적당해요착용감편해요",5,"넥라인 탄탄하고 좋아요
이너용이라 그런지 조금 긴편입니다"
66,"색상: (10)WHITE / 사이즈: L(100)
체형여성165cm60kg상의 S보통 어깨사이즈잘 맞아요핏적당해요착용감아주 편해요",5,"소재가좋고 세탁기 막돌려도 짱짱하고 목늘어짐없고
건조기까지 돌렸습니다!
엄청 괜찮아요"
67,"색상: (10)WHITE / 사이즈: S(090)
사이즈약간 커요 (총 기장, 어깨)핏오버핏이에요착용감아주 편해요",5,"사이즈가 넉넉하고 편합니다!
저한테는 기장이 너무 길어서 아쉬웠습니다"
68,"색상: (10)WHITE / 사이즈: M(095)
사이즈잘 맞아요핏적당해요착용감편해요",5,생각보다 길이가 다소 깁니다. 그거빼곤 두껍고 질도 좋습니다.
69,"색상: (10)WHITE / 사이즈: XL(105)
사이즈잘 맞아요핏적당해요착용감편해요",5,레이어드 티셔츠 찾고 있었는데 저렴한 가격에 구매했습니다. 맨투맨 안에 입어보니 적당한 길이입니다. 만족합니다.
70,"색상: (10)WHITE / 사이즈: XL(105)
체형선택안함170cm57kg상의 M보통 어깨팔이 긴 편사이즈잘 맞아요핏적당해요착용감편해요",5,키 183.75인 아들...레이어드티 필요해서 주문했어요 좀 길어요.. 건조기 돌려서 줄여 입혀얄거같아요...아들은 좋다네요 ^^
71,"색상: (10)WHITE / 사이즈: L(100)
사이즈약간 커요 (총 기장)핏적당해요착용감편해요",5,품질이 좋습니다!! 사이즈는 하나 낮게 주문하는게 맞을것 같아요
72,"색상: (10)WHITE / 사이즈: XL(105)
체형남성181cm110kg사이즈약간 작아요 (기타)핏적당해요착용감편해요",4,기장도 길고 배나온 저도 괜찮군요 물론 배는 나와보였어요
73,"색상: (10)WHITE / 사이즈: XL(105)
체형남성181cm85kg사이즈잘 맞아요핏오버핏이에요착용감편해요",3,"재구매바로재구매했는데
포장이 뜯어져있고 안에 먼지가 많네요
반품하려다 옷은 이상없는거 같아 그냥 입기로했습니다
하루걸러 받았는데 기분이 좀 안좋네요"
74,"색상: (10)WHITE / 사이즈: L(100)
사이즈잘 맞아요핏오버핏이에요착용감편해요",5,"레이어드용답게 밑기장이 좀 있어서 만족합니다
전체적으로 무난하게 이너용으로 어울립니다"
75,"색상: (10)WHITE / 사이즈: M(095)
체형163cm47kg상의 S사이즈잘 맞아요핏적당해요착용감편해요",5,"일단 2장 가격이 좋아서 구매했어요
남녀공용이라 그런지 M사이즈는 입으니 많이 크네요 s할걸"
76,"색상: (10)WHITE / 사이즈: M(095)
체형여성163cm52kg상의 S보통 어깨보통 팔길이사이즈잘 맞아요핏오버핏이에요착용감편해요",5,한팩에 두장이나 들어서 놀랐어요 이너로 입기 딱 좋은듯 대박이에요
77,"색상: (10)WHITE / 사이즈: S(090)
사이즈잘 맞아요핏적당해요착용감편해요",5,기본티는 항상 구비해놔야 되는데 할인가격에 너무 잘산거같아요 ㅎㅎ
78,"색상: (10)WHITE / 사이즈: M(095)
사이즈잘 맞아요핏적당해요착용감아주 편해요",4,사이즈 및 기장감 다 맘에 드는데 생각보다 얇아서 살짝 아쉽네요. 오히려 좋아하실분들도 있으실듯?
79,"색상: (10)WHITE / 사이즈: M(095)
체형남성174cm75kg상의 L보통 어깨팔이 짧은 편 사이즈약간 커요 (총 기장)핏적당해요착용감편해요",5,총장길이가 조금만 짧앗으면 하는 바램이 잇지만 완전마음에 듭니다
80,"색상: (10)WHITE / 사이즈: L(100)
체형선택안함사이즈약간 커요 (총 기장)핏오버핏이에요착용감아주 편해요",5,얇은 레이어드흰티네요 오버핏이라 불편하지않아 맘에드네요 배송은총알이라 주문다음날 받아좋았습니다.
81,"색상: (10)WHITE / 사이즈: S(090)
체형159cm40kg상의 S사이즈약간 커요 (총 기장)핏오버핏이에요착용감아주 편해요",5,"아이가 교복안에 입는다고 산건데 생각보다 많이 길어요
그래도 건조기 돌리니 괜찮구요
천이 얇지도 않고 적당히 좋아요"
82,"색상: (10)WHITE / 사이즈: M(095)
체형남성175cm58kg상의 M사이즈잘 맞아요핏적당해요착용감편해요",5,목부분 탄탄한 편이고 부드럽고 길이감도 맘에 들어요..이런 이너는 자주 바꿔주는편인데 가격도 맘에 들어요
83,"색상: (10)WHITE / 사이즈: XL(105)
사이즈잘 맞아요핏적당해요착용감편해요",5,가격대비 가성비 아주 훌륭하고 레이어드로 잘입고있어요
84,"색상: (10)WHITE / 사이즈: M(095)
체형여성165cm60kg상의 S보통 어깨사이즈잘 맞아요핏적당해요착용감아주 편해요",5,"미듐 라지 두가지다 구매했어요
소재가 좋고 사이즈도 오버핏아니라서 좋아요
목늘어짐없어요"
85,"색상: (10)WHITE / 사이즈: M(095)
사이즈잘 맞아요핏적당해요착용감아주 편해요",5,"매장에서 직접 사서 입고 있는데, 마침 온라인 세일해서 쟁였습니다. 목부분 탄탄하고 옆트임 있어서 좋아요:)"
86,"색상: (10)WHITE / 사이즈: S(090)
체형남성165cm48kg상의 M어깨 넓음보통 팔길이사이즈잘 맞아요핏적당해요착용감아주 편해요",5,레이어드에 딱 좋아요 목도 탄탄하고 잘 않늘어날꺼같아요
87,"색상: (10)WHITE / 사이즈: M(095)
사이즈약간 커요 (총 기장)핏적당해요착용감편해요",4,레이어드 티셔츠라고 해서 얼른 구매했어요. 거의 허벅지까지 내려와요.
88,"색상: (10)WHITE / 사이즈: XL(105)
사이즈잘 맞아요핏적당해요착용감편해요",5,레이어드 티로 만족해요 길이가 길어요
89,"색상: (10)WHITE / 사이즈: L(100)
체형남성175cm63kg상의 L보통 어깨보통 팔길이사이즈잘 맞아요핏적당해요착용감아주 편해요",5,봄이라 안에 레이어드할 반팔을 찾고있었는데 행사기간에 좋은가격으로 구매했어요 아이가 잘 맞는다고해요
90,"색상: (10)WHITE / 사이즈: XL(105)
사이즈잘 맞아요핏슬림해요착용감편해요",4,배송 빠르고 좋습니다. 저렴하고 좋아요.
91,"색상: (10)WHITE / 사이즈: M(095)
사이즈약간 커요핏오버핏이에요착용감편해요",5,재구매배송 빨라요~ 오버핏이고 편하게 잘 맞네요
92,"색상: (10)WHITE / 사이즈: M(095)
사이즈잘 맞아요핏적당해요착용감편해요",5,"옷감이 도톰해서 세탁해도 뒤틀림이 없어요.
비치지 않아 봄엔 이너로, 여름엔 단독으로 잘 활용할 듯 해요~"
93,"색상: (10)WHITE / 사이즈: M(095)
사이즈잘 맞아요핏적당해요착용감편해요",5,안에 받쳐입기 딱 적당해서 넘 좋을거같아요-! 사이즈는 M이 딱 173cm 78kg 남자한테 약간 넉넉하게 잘맞고 좋아요
94,"색상: (10)WHITE / 사이즈: XL(105)
사이즈약간 커요핏적당해요착용감편해요",5,크다는 리뷰보고 남자친구 레이어드하라고 샀는데..살이 쪄서 배만 넘 딱 맞네요ㅎㅎ 살 빼고 입혀야겠어요ㅠㅠ
95,"색상: (10)WHITE / 사이즈: M(095)
체형여성166cm상의 L사이즈잘 맞아요핏적당해요착용감아주 편해요",5,스파오 제품은 항상 만족합니다 기대한만큼 좋은 제품이에요 재구매할 때 또 올게요
96,"색상: (10)WHITE / 사이즈: XL(105)
사이즈잘 맞아요핏적당해요착용감편해요",5,원단 좋고 세탁 건조후 착용하니 길이도 딱입니다!
97,"색상: (10)WHITE / 사이즈: L(100)
사이즈잘 맞아요핏적당해요착용감편해요",5,"길이가 길어서 레이어드 티로 아주 좋아요~
천도 아주 얇지않아 지금 안에 입기 딱 좋습니다.
블랙도 있음 좋겠어요~"
98,"색상: (10)WHITE / 사이즈: L(100)
핏오버핏이에요사이즈많이 커요 (총 기장)착용감아주 편해요",5,생각보다 길이가 기네요. 그래도 레이어드하기엔 좋습니다.
99,"색상: (10)WHITE / 사이즈: XL(105)
체형선택안함사이즈잘 맞아요핏오버핏이에요착용감아주 편해요",5,길게입으려고 싸개사서 좋아요 완전 만족이애요 추천합니다 레이어드 봄에 휘뚜루마뚜루 잘쓸듯
