summary,grade,review
"색상: (85)BROWN / 사이즈: S(085)
사이즈잘 맞아요핏적당해요두께보통 두께예요",5,너무 예뻐요 그레이 브라운 둘다 좋아요
"색상: (15)GRAY / 사이즈: S(085)
사이즈잘 맞아요핏적당해요두께보통 두께예요",5,세미 오버핏이라 좋고 날씨 좀 풀리면 자주 입을것 같아요ㅎㅎ
"색상: (85)BROWN / 사이즈: S(085)
체형158cm49kg상의 S보통 어깨사이즈약간 커요 (소매길이)핏오버핏이에요두께보통 두께예요",5,"오버핏이긴 한데 너무 과하지 않아서 좋아요
색감도 좋고 저렴하게 잘 샀어요"
"색상: (85)BROWN / 사이즈: S(085)
사이즈약간 커요 (어깨)핏오버핏이에요두께보통 두께예요",4,오버핏인듯요..요즘 입기 딱 좋아요.
"색상: (85)BROWN / 사이즈: S(085)
사이즈잘 맞아요핏적당해요두께보통 두께예요",5,"깔끔한 기본스타일이라 유행없이 잘 입을듯합니다.
지금 입기 딱좋아요 스파오에서 코트산거 주구장창 입었는데
이번 자켓도 그럴것 같아요 맘에 듭니다"
"색상: (15)GRAY / 사이즈: M(090)
사이즈잘 맞아요핏적당해요두께두꺼워요",5,M사이즈가 그레이 밖에 없어서 결국 그레이 샀는데 잘 산 거 같아요!!!
"색상: (85)BROWN / 사이즈: M(090)
체형158cm50kg사이즈약간 커요 (소매길이)핏오버핏이에요두께보통 두께예요",5,모 10% 정도지만 촉감이 부드럽고 좋아요 오버핏인줄 알았지만 더 오버핏으로 입고 싶어서 더 큰 M사이즈로 주문했는데 만족스럽습니다 긴 소매는 어쩔수 없이 접었지만 더 이쁘네요 저렴하고 이뻐서 다른 색상도 사고 싶어요
"색상: (15)GRAY / 사이즈: S(085)
사이즈약간 커요핏적당해요두께두꺼워요",5,"너무너무 예뻐요
다른색으로 재구매 하고싶어요"
"색상: (15)GRAY / 사이즈: M(090)
체형165cm47kg상의 S보통 어깨사이즈잘 맞아요핏적당해요두께보통 두께예요",5,저렴하게 잘구입햇어요
"색상: (85)BROWN / 사이즈: M(090)
사이즈잘 맞아요핏적당해요두께보통 두께예요",4,핏 디자인 다 너무 이뻐요 살짝 보풀이 금방올라올 거 같긴하지만 맘에듭니다
"색상: (15)GRAY / 사이즈: S(085)
사이즈잘 맞아요핏적당해요두께보통 두께예요",5,그레이인데 베이지도 있고 괜찮어요!
"색상: (15)GRAY / 사이즈: M(090)
체형157cm51kg상의 M어깨 넓음보통 팔길이사이즈잘 맞아요핏오버핏이에요두께두꺼워요",5,"사진색상보다 더 맘에 드는 색이에요
겨울 가을 코트로 제격입니다!"
"색상: (15)GRAY / 사이즈: M(090)
사이즈약간 커요 (총 기장)핏오버핏이에요두께보통 두께예요",5,기골이 장대해도 M사이즈 커요. 근데 오버핏으로 입는거라 맘에 듭니다.
"색상: (85)BROWN / 사이즈: M(090)
사이즈약간 커요 (어깨)핏오버핏이에요두께보통 두께예요",5,"자켓 잘 입고 다닐거 같아요.
요즘 날씨에 입기 좋은거 같고
그레이도 고민 되네요 사고싶어서
사진보다 어두워요"
"색상: (85)BROWN / 사이즈: S(085)
사이즈잘 맞아요핏적당해요두께보통 두께예요",5,크다는 후기가 많아서 스몰로 주문했는데 딱 맞네요 팔은 아주 살짝 짧은 감이 있는 것 같기도 해요 ㅠㅠ
"색상: (15)GRAY / 사이즈: L(095)
체형158cm60kg상의 L보통 어깨보통 팔길이사이즈잘 맞아요핏적당해요두께보통 두께예요",5,"일부러 한사이즈 업~
원단좋고 디자인좋고
가격은 더좋고"
"색상: (15)GRAY / 사이즈: M(090)
사이즈잘 맞아요핏적당해요두께보통 두께예요",5,배송 정말 빠릅니다!!
"색상: (85)BROWN / 사이즈: M(090)
사이즈약간 커요 (어깨)핏오버핏이에요두께보통 두께예요",1,새옷인데 누가 입다 보낸건지 팔에 주름이 있네요 중고인가요... 보풀도 있고..기분 좋지않네요 찝찝해요
"색상: (85)BROWN / 사이즈: M(090)
체형163cm상의 M사이즈잘 맞아요핏적당해요두께보통 두께예요",5,예상했던대로 맘에 쏙 들어요~ 핏도 적당하고 정말 예뻐요♡
"색상: (85)BROWN / 사이즈: L(095)
체형163cm50kg상의 M사이즈약간 커요 (소매길이)핏오버핏이에요두께보통 두께예요",5,요즘엔 안에 얇은 패딩 조끼 입고 입으니까 땃 좋아요 색상도 마음에 들고 너무 좋아요
"색상: (85)BROWN / 사이즈: M(090)
사이즈잘 맞아요핏적당해요두께두꺼워요",5,정말 저렴하게 득템했어요 만족합니다%
"색상: (85)BROWN / 사이즈: S(085)
사이즈약간 커요 (총 기장, 소매길이)핏오버핏이에요두께두꺼워요",5,"조금 오버핏이네요!
가성비 좋고 옷 이뻐요!
잘 입을께요~~"
"색상: (85)BROWN / 사이즈: S(085)
사이즈잘 맞아요핏오버핏이에요두께보통 두께예요",5,"오버핏이라 안에 티 하나 입고 편하게 입기 좋을 거 같아요, 색상도 무난해서 마음에 들어요!
엉덩이 살짝 덮이는 길이감이에요!"
"색상: (15)GRAY / 사이즈: S(085)
체형160cm48kg상의 S사이즈잘 맞아요핏적당해요두께보통 두께예요",4,"무난하고 좋네요 평범한모양에
모든옷에 잘 어울릴듯 합니다"
"색상: (15)GRAY / 사이즈: M(090)
체형160cm55kg상의 M사이즈잘 맞아요핏적당해요두께보통 두께예요",5,"촤르르 떨어지는 핏감은 아니지만
이 가격에 이 정도의 핏은 만족해요.
잘 입고 있습니당"
"색상: (15)GRAY / 사이즈: M(090)
사이즈잘 맞아요핏오버핏이에요두께두꺼워요",5,"색상 때문에 고민 많았는데
그레이 색상 너무 예쁘네요~
살짝 오버핏에 청바지와 찰떡입니다"
"색상: (85)BROWN / 사이즈: S(085)
사이즈잘 맞아요핏적당해요두께보통 두께예요",5,배송이 빨라서 좋아요. 가볍고 옷에서 냄새가 거의 나지 않아서 좋네요.
"색상: (15)GRAY / 사이즈: S(085)
사이즈잘 맞아요핏적당해요두께보통 두께예요",5,딸이 잘 입고 있어요. 그레이 색인데 누런 끼가 있어 베이지 계열 같아요ㅠ 그래도 가성비가 좋아서~^^
"색상: (15)GRAY / 사이즈: S(085)
사이즈잘 맞아요핏오버핏이에요두께보통 두께예요",5,재구매브라운 맘에들어서 그레이도 구매했어요~
"색상: (85)BROWN / 사이즈: M(090)
체형162cm52kg상의 M보통 어깨보통 팔길이사이즈잘 맞아요핏적당해요두께두꺼워요",5,잘맞고 천도 도톰하여 초봄에 입기 좋을것같아요
"색상: (85)BROWN / 사이즈: L(095)
사이즈잘 맞아요핏적당해요두께두꺼워요",4,"색깔이 완전 고동색은 아니고 약간 올리브샙이 나는등 하네요
배송이 오래걸려 봄이라 못입겠네요. 핏은 그럭저럭 입니다."
"색상: (85)BROWN / 사이즈: S(085)
사이즈잘 맞아요핏적당해요두께보통 두께예요",5,브라운으로 구매했는데 그레이 사면 더 잘 입었을거 같아요! 약간 나이들어보이는거 같아요ㅋㅋ
"색상: (15)GRAY / 사이즈: S(085)
체형158cm52kg상의 S팔이 긴 편사이즈잘 맞아요핏적당해요두께보통 두께예요",5,깔별로 두벌 구매했습니다~~두벌다 모두 만족하며 지금시기에 입기 딱 좋습니다~~가성비 짱입니다~~~!!!!!
"색상: (15)GRAY / 사이즈: M(090)
사이즈잘 맞아요핏적당해요두께보통 두께예요",5,"두께도 좋고, 색도 이뻐서 너무 잘샀어요!"
"색상: (15)GRAY / 사이즈: S(085)
사이즈잘 맞아요핏적당해요두께두꺼워요",5,입기 편해요....
"색상: (85)BROWN / 사이즈: M(090)
사이즈잘 맞아요핏오버핏이에요두께보통 두께예요",5,"어깨가 조금 크긴 하지만 편하게 입을 수 있을 거 같아여~~
봄이 오기 전에 입으려고 샀는데... 너무 만족하고 잘 입고 다닐 거 같아여~~
그레이도 사고 싶네여"
