summary,grade,review
"상품명: 01.윈도우체크 반팔세트 / 사이즈: XL(105.5~110)
사이즈많이 커요착용감아주 편해요원단뻣뻣해요",5,포장 꼼꼼하게 왔어요
"상품명: 10.진퍼플ST 반팔세트 / 사이즈: XL(105.5~110)
사이즈많이 커요착용감편해요원단보통이에요",5,포장 꼼꼼하게 왔어요
"상품명: 11.클래식그레이 반팔세트 / 사이즈: XL(105.5~110)
사이즈잘 맞아요착용감편해요원단보통이에요",5,사이즈딱맞고좋아요참고바랍니다
"상품명: 01.윈도우체크 반팔세트 / 사이즈: XL(105.5~110)
사이즈많이 작아요 (가슴)착용감불편해요원단뻣뻣해요",1,한달사용기사이즈가 자고 원단이 신축성이 없어서 불편해요
"상품명: 04.오리엔탈 반팔세트 / 사이즈: XL(105.5~110)
체형178cm76kg상의 L하의 32인치사이즈잘 맞아요착용감편해요원단보통이에요",5,남편이 이쁘고 편하데요 근데 주머니 없어서 불편하다 하네요 주머니도 만들어 주세요
"상품명: 01.윈도우체크 반팔세트 / 사이즈: L(100~105)
원단부드러워요사이즈잘 맞아요착용감아주 편해요",5,한달사용기면이 부드럽고 사이즈도 잘 맞아서 편합니다.
"상품명: 09.네이비ST 반팔세트 / 사이즈: XL(105.5~110)
원단부드러워요사이즈약간 커요 (허리)착용감편해요",4,사이즈가 좀 더 몸에 맞도록 고를 수 있었으면 좋았겠지만 그래도 제품 자체엔 만족합니다
"상품명: 11.클래식그레이 반팔세트 / 사이즈: L(100~105)
체형170cm69kg상의 M하의 31인치원단부드러워요사이즈잘 맞아요착용감아주 편해요",5,원단이 부드럽고 얇아서 시원하고 좋습니다.
"상품명: 08.리본오리 반팔세트 / 사이즈: L(100~105)
원단부드러워요사이즈잘 맞아요착용감아주 편해요",5,한달사용기면이 부드럽고 사이즈도 잘 맞습니다.
"상품명: 16.썸머레빗 반팔세트 / 사이즈: L(100~105)
원단부드러워요사이즈잘 맞아요착용감아주 편해요",5,남편이 너무 좋아해요
"상품명: 14.테디베어 반팔세트 / 사이즈: XL(105.5~110)
체형170cm89kg상의 2XL사이즈잘 맞아요착용감아주 편해요원단보통이에요",5,"한달사용기편하다고 잘,입고 있어요"
"상품명: 06.블루ST 반팔세트 / 사이즈: XL(105.5~110)
체형178cm74kg상의 XL하의 32인치원단부드러워요사이즈잘 맞아요착용감편해요",5,"❤️두께: 얇아서 여름에 입기 좋아요 땀도 잘 스며들고 빠르게 마르는 소재에요
건조기 돌려봤는데 큰 손상없이 세탁되여! 그래도 오래입으실거면 금방 마르니까 자연건조 하심 좋을 것 같아여

❤️바지: 길이가 아주 짧지 않아서 집에서 편하게 있어도 바지 사이 신경 안써도 되고 좋아요

❤️상의: 카라가 없는 넥이라 목 부분이 훨씬 편하네요. 남편이 팔을 다쳐서 산건데
편하게 착용하는데 도움이 되네요

❤️사이즈: 평소 사이즈 공개 했는데 사이즈 편하게 잘 맞아요 적극추천👍 일단 피부에 바로 닿는 잠옷 믿음직한 소재라 좋아요

❤️디자인: 깔끔해서 부담없어요 화사해요
더보기"
"상품명: 01.윈도우체크 반팔세트 / 사이즈: XL(105.5~110)
체형170cm69kg상의 XL원단부드러워요사이즈잘 맞아요착용감편해요",5,재구매편해서 재구매했습니다
"상품명: 08.리본오리 반팔세트 / 사이즈: L(100~105)
체형176cm76kg상의 L하의 32인치사이즈약간 커요 (하의 기장, 상의 기장)착용감편해요원단보통이에요",5,"보통 옷사이즈생각하고 주문했는데 크코 헐렁합니다.
편하긴합니다.
어느정도 맞게 입으려면 한사이즈작게 신청해야될듯해요 만족입니다."
"상품명: 09.네이비ST 반팔세트 / 사이즈: L(100~105)
사이즈잘 맞아요착용감편해요원단보통이에요",4,물건이 잘못배송왔는데 친절하게 바로 해결해주셨어요
"상품명: 16.썸머레빗 반팔세트 / 사이즈: M(95)
사이즈잘 맞아요착용감편해요원단보통이에요",4,적당한 가격에 적당한 제품입니다.
"상품명: 09.네이비ST 반팔세트 / 사이즈: L(100~105)
체형173cm42kg상의 M하의 27인치원단부드러워요사이즈잘 맞아요착용감아주 편해요",5,더위를 많이 타는 편이라 얇은 아사면 잠옷을 찾았는데 잘 산 거 같습니다. 얇고 땀흡수 잘되서 아주 좋습니다. 바지 길이가 살짝 길어서 좀 더 짧으면 좋겠어요.
